PostgreSQL;База данных (СУБД), в которой хранятся детализированные досье персон с разбиением по категориям (спискам наблюдения), биометрические данные персон, а также все события распознавания лиц. Помимо этого, в базе данных хранится информация внутреннего характера: профили пользователей FindFace Security, данные видеокамер и пр. Устанавливается из репозитория Ubuntu (наряду с Redis).
``ffsecurity``;Сервис, который связывает воедино все компоненты FindFace Security, обеспечивая функционирование системы. Включает в себя сервисы ``findface-security-proto`` (отвечает за HTTP и web-сокет) и ``findface-security-worker`` (обеспечивает взаимодействие остальных компонентов системы). Получает от сервиса ``video-worker`` нормализованное изображение, полный кадр и мета-данные обнаруженного лица. Перенаправляет нормализованное изображение лица в сервис ``extraction-api`` для извлечения биометрического образца. Полученный биометрический образец используется для поиска наиболее схожих лиц в списках наблюдения с помощью сервиса ``findface-postgres-facen``. После этого событие обнаружения лица записывается в базу данных PostgreSQL вместе с результатом поиска и отображается в веб-интерфейсе. Систему можно настроить таким образом, что событие будет записываться и отображаться в веб-интерфейсе только в том случае, если степень схожести обнаруженного лица и лица из какого-либо досье превышает предустановленное пороговое значение, т. е. если лица совпадают  (параметр ``IGNORE_UNMATCHED`` в файле ``/etc/ffsecurity/config.py``, см. :ref:`basic-deployment`). Сервис ``ffsecurity`` также отвечает за поиск лиц в базе событий и базе досье.
``videomanager-api``;Сервис, являющийся частью модуля видеодетекции лиц, через который осуществляется управление детекцией лиц на видео, а именно задаются настройки и список видеопотоков для обработки. Взаимодействует с сервисом ``video-worker``.
``video-worker``;Сервис, являющийся частью модуля видеодетекции лиц, который обнаруживает лицо «на лету» в видеопотоке или видеофайле и отправляет его нормализованное изображение, полный кадр и мета-данные, такие как ID камеры и метку времени обнаружения, в сервис ``ffsecurity``.
``extraction-api``;Сервис, который используется для извлечения биометрического образца (вектора признаков) лица. Для работы необходимы пакеты c моделями нейронных сетей :program:`<findface-data>.deb`.
``findface-postgres-facen``;Расширение к базе данных :program:`PostgreSQL`, которое используется для вычисления степени схожести обнаруженного лица с лицами из досье путем сравнения биометрических образцов.  
Веб-интерфейс;Веб-интерфейс ``ffsecurity-ui`` используется для отображения результатов работы системы распознавания лиц, управления видеокамерами, пользователями, ведения списков наблюдения, поиска лиц в базе событий, досье и социальных сетях.
``NTLS``;Локальный сервер лицензий с управлением через веб-интерфейс, взаимодействующий для верификации лицензий с глобальным сервером лицензий NtechLab или аппаратным лицензионным ключом.
``etcd``;Стороннее программное обеспечение, реализующее распределенное хранилище ключей для компонента ``videomanager-api``. Используется в качестве координационной службы в распределенной системе, обеспечивая отказоустойчивость модуля видеодетекции лиц.

